Gene_Symbol	Gene Category
ABCC8	Xianming (DH)
ACVR1B	FUSIL "developmental lethal"
AP1G1	FUSIL "developmental lethal"
AP2B1	FUSIL "developmental lethal"
APH1A	FUSIL "developmental lethal"
ARHGEF7	FUSIL "developmental lethal"
ARID1A	TV genes
ARID1B	TV genes
ARID3A	FUSIL "developmental lethal"
ARIH2	FUSIL "developmental lethal"
ARL15	FUSIL "developmental lethal"
ARMH3	FUSIL "developmental lethal"
ARPC2	FUSIL "developmental lethal"
ASF1A	FUSIL "developmental lethal"
ASH2L	FUSIL "developmental lethal"
ATG13	FUSIL "developmental lethal"
ATP6V0A1	FUSIL "developmental lethal"
ATP6V0D1	FUSIL "developmental lethal"
ATXN7L3	FUSIL "developmental lethal"
BECN1	FUSIL "developmental lethal"
BEND3	FUSIL "developmental lethal"
BRD2	FUSIL "developmental lethal"
CAMTA2	FUSIL "developmental lethal"
CARM1	FUSIL "developmental lethal"
CASZ1	FUSIL "developmental lethal"
CBX1	FUSIL "developmental lethal"
CBX4	FUSIL "developmental lethal"
CDK12	FUSIL "developmental lethal"
CDK8	FUSIL "developmental lethal"
CELF4	FUSIL "developmental lethal"
CHTOP	FUSIL "developmental lethal"
CMIP	FUSIL "developmental lethal"
CNOT10	FUSIL "developmental lethal"
CNOT4	FUSIL "developmental lethal"
CNTFR	FUSIL "developmental lethal"
CS	FUSIL "developmental lethal"
CSK	FUSIL "developmental lethal"
CUL5	FUSIL "developmental lethal"
DAAM1	FUSIL "developmental lethal"
DACH1	FUSIL "developmental lethal"
DDX1	FUSIL "developmental lethal"
DERL2	FUSIL "developmental lethal"
DLG5	FUSIL "developmental lethal"
DPY30	FUSIL "developmental lethal"
DSTN	FUSIL "developmental lethal"
ELAVL1	FUSIL "developmental lethal"
EOMES	Positive Control (DH)
EPC2	FUSIL "developmental lethal"
EXOC8	FUSIL "developmental lethal"
FCHO2	FUSIL "developmental lethal"
FNDC3B	FUSIL "developmental lethal"
FOXA2	Xianming (DH)
FRS2	FUSIL "developmental lethal"
FURIN	FUSIL "developmental lethal"
FYN	FUSIL "developmental lethal"
FZR1	FUSIL "developmental lethal"
G3BP2	FUSIL "developmental lethal"
GABARAPL2	FUSIL "developmental lethal"
GABPA	FUSIL "developmental lethal"
GART	FUSIL "developmental lethal"
GATA6	Positive Control (DH)
GDF11	FUSIL "developmental lethal"
GLIS3	T2D (DH)
GNAZ	FUSIL "developmental lethal"
HDAC1	FUSIL "developmental lethal"
HES1	T2D (DH)
HMGA1	T2D (DH)
HNF1A	T2D (DH)
HNF1B	T2D (DH)
HNF4A	T2D (DH)
IAPP	Xianming (DH)
IL6ST	FUSIL "developmental lethal"
ILK	FUSIL "developmental lethal"
INS	Xianming (DH)
INSM1	T2D (DH)
INTS10	FUSIL "developmental lethal"
INTS12	FUSIL "developmental lethal"
ISL1	Xianming (DH)
ITGB8	FUSIL "developmental lethal"
JAG2	FUSIL "developmental lethal"
JAZF1	T2D (DH)
JMJD6	FUSIL "developmental lethal"
JUN	Positive Control (DH)
KIF26B	FUSIL "developmental lethal"
KIF3C	FUSIL "developmental lethal"
KIFAP3	FUSIL "developmental lethal"
