ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,GrowthPattern,MolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage
ACH-000001,PT-gj46wT,NIH:OVCAR-3,NIHOVCAR3,60.0,Commercial,SIDM00105,CVCL_0465,HGSOC,Adherent,,Metastatic,ascites,Female,ATCC,,NIHOVCAR3_OVARY,905933.0,,2201.0,HGSOC,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000002,PT-5qa3uk,HL-60,HL60,36.0,Commercial,SIDM00829,CVCL_0002,AML,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,ATCC,,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,905938.0,,55.0,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000003,PT-puKIyc,CACO2,CACO2,72.0,Commercial,SIDM00891,CVCL_0025,COAD,Adherent,,,Colon,Male,ATCC,,CACO2_LARGE_INTESTINE,,,,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000004,PT-q4K2cp,HEL,HEL,30.0,Commercial,SIDM00594,CVCL_0001,AML,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907053.0,,783.0,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000005,PT-q4K2cp,HEL 92.1.7,HEL9217,30.0,Commercial,SIDM00593,CVCL_2481,AML,Unknown,,,bone_marrow,Male,ATCC,,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000006,PT-ej13Dz,MONO-MAC-6,MONOMAC6,64.0,Commercial,SIDM01023,CVCL_1426,AMOL,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908148.0,,2167.0,AMOL,Acute Monoblastic/Monocytic Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000007,PT-NOXwpH,LS513,LS513,63.0,Commercial,SIDM00677,CVCL_1386,COAD,Adherent,,Primary,large_intestine,Male,ATCC,,LS513_LARGE_INTESTINE,907795.0,,569.0,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000008,PT-fp8PeY,A101D,A101D,56.0,Commercial,SIDM00801,CVCL_1057,MEL,Unknown,,,skin,Male,ATCC,,A101D_SKIN,910921.0,,1806.0,MEL,Melanoma,Melanoma,Skin
ACH-000009,PT-puKIyc,C2BBe1,C2BBE1,72.0,Commercial,SIDM01233,CVCL_1096,COAD,Adherent,,Primary,Colon,Male,ATCC,,C2BBE1_LARGE_INTESTINE,910700.0,,2104.0,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000011,PT-AR7W9o,253J,253J,53.0,Commercial,,CVCL_7935,BLCA,Unknown,,Metastatic,lymph_node,Male,KCLB,,253J_URINARY_TRACT,,,,BLCA,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder/Urinary Tract
ACH-000012,PT-NdspH5,HCC827,HCC827,39.0,Commercial,SIDM01067,CVCL_2063,LUAD,Adherent,,Primary,lung,Female,ATCC,,HCC827_LUNG,1240146.0,,354.0,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000013,PT-gj46wT,ONCO-DG-1,ONCODG1,60.0,Commercial,SIDM00093,CVCL_1882,HGSOC,Unknown,,Metastatic,ascites,Female,DSMZ,,ONCODG1_OVARY,,SNP fingerprinting confirms that this line is an OVCAR-3 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,,HGSOC,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000014,PT-fp8PeY,Hs 294T,HS294T,56.0,Commercial,SIDM00800,CVCL_0331,MEL,Adherent,,Metastatic,lymph_node,Male,ATCC,,HS294T_SKIN,,,,MEL,Melanoma,Melanoma,Skin
ACH-000015,PT-ffwajI,NCI-H1581,NCIH1581,44.0,Commercial,SIDM00748,CVCL_1479,LCLC,Unknown,,Primary,lung,Male,ATCC via Meyerson (Broad) who received from Gazdar,,NCIH1581_LUNG,908471.0,,1237.0,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000016,PT-JnARLB,SLR 21,SLR21,,Academic lab,,CVCL_V607,CCRCC,Adherent,,Metastatic,kidney,Unknown,Bill Kaelin (DFCI),,SLR21_KIDNEY,,,,CCRCC,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000017,PT-8CE6ah,SK-BR-3,SKBR3,43.0,Commercial,SIDM00897,CVCL_0033,BRCA,Adherent,HER2_amp,Metastatic,pleural_effusion,Female,ATCC,,SKBR3_BREAST,,,,BRCA,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000018,PT-Mi0cKz,T24,T24,82.0,Commercial,SIDM01184,CVCL_0554,BLCA,Unknown,,Primary,urinary_tract,Female,ATCC,,T24_URINARY_TRACT,724812.0,,1455.0,BLCA,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder/Urinary Tract
ACH-000019,PT-viJKnw,MCF7,MCF7,69.0,Commercial,SIDM00148,CVCL_0031,BRCA,Adherent,luminal,Metastatic,pleural_effusion,Female,ATCC,,MCF7_BREAST,905946.0,,588.0,BRCA,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000020,PT-GMWtlF,MHH-CALL-2,MHHCALL2,15.0,Commercial,SIDM00331,CVCL_1409,BLL,Unknown,,,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908132.0,,1906.0,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000021,PT-9p1WQv,NCI-H1693,NCIH1693,55.0,Commercial,SIDM00742,CVCL_1488,LUAD,Adherent,,Metastatic,lymph_node,Female,ATCC,,NCIH1693_LUNG,687802.0,,634.0,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000022,PT-lVglGI,PA-TU-8988S,PATU8988S,64.0,Commercial,SIDM00452,CVCL_1846,PAAD,Unknown,,Metastatic,liver,Female,DSMZ,,PATU8988S_PANCREAS,,,,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000023,PT-lVglGI,PA-TU-8988T,PATU8988T,64.0,Commercial,SIDM00453,CVCL_1847,PAAD,Unknown,,Metastatic,liver,Female,DSMZ,,PATU8988T_PANCREAS,1240201.0,,1242.0,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000024,PT-codP7n,OPM-2,OPM2,56.0,Commercial,SIDM00457,CVCL_1625,PCM,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909249.0,,112.0,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000025,PT-nrgozM,CH-157MN,CH157MN,41.0,Academic lab,,CVCL_5723,MNG,Adherent,,,central_nervous_system,Female,Dunn (BWH),,CH157MN_CENTRAL_NERVOUS_SYSTEM,,,,MNG,Meningioma,Meningothelial Tumor,CNS/Brain
ACH-000026,PT-AR7W9o,253J-BV,253JBV,53.0,Commercial,,CVCL_7937,BLCA,Unknown,,Metastatic,lymph_node,Male,KCLB,,253JBV_URINARY_TRACT,,,,BLCA,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder/Urinary Tract
ACH-000027,PT-llPs5J,GOS-3,GOS3,64.0,Commercial,,CVCL_2050,GB,Unknown,,Primary,central_nervous_system,Male,DSMZ,,GOS3_CENTRAL_NERVOUS_SYSTEM,,SNP fingerprinting confirms that this line is an U-343 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000028,PT-viJKnw,KPL-1,KPL1,69.0,Commercial,SIDM00147,CVCL_2094,BRCA,Adherent,luminal,Metastatic,pleural_effusion,Female,DSMZ,,KPL1_BREAST,,SNP fingerprinting confirms that this line is an MCF-7 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,,BRCA,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000029,PT-NdspH5,HCC-827-GR5,HCC827GR5,39.0,Academic lab,,CVCL_V622,LUAD,Adherent,,Primary,lung,Female,Janne (DFCI),,HCC827GR5_LUNG,,,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000030,PT-nDRyc6,PC-14,PC14,45.0,Commercial,SIDM00237,CVCL_1640,LUAD,Adherent,,Primary,lung,Male,RIKEN,,PC14_LUNG,753608.0,,198.0,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000031,PT-o4NqQC,Panc 02.13,PANC0213,64.0,Commercial,,CVCL_1634,PAAD,Unknown,,Primary,pancreas,Female,ATCC,,PANC0213_PANCREAS,,,,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000032,PT-p2KOyI,MHH-CALL-3,MHHCALL3,11.0,Commercial,,CVCL_0089,BLL,Unknown,,,bone_marrow,Female,DSMZ,,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000033,PT-9p1WQv,NCI-H1819,NCIH1819,55.0,Academic lab,,CVCL_1497,LUAD,Adherent,,Metastatic,lymph_node,Female,Meyerson (Broad) who received from Minna,,NCIH1819_LUNG,,,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000034,PT-5qa3uk,,PLB985,35.0,Academic lab,SIDM00811,CVCL_2162,AML,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,Pellman (DFCI),,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,SNP fingerprinting confirms that this line is an HL-60 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000035,PT-5LVIPg,NCI-H1650,NCIH1650,27.0,Commercial,SIDM00745,CVCL_1483,NSCLC,Adherent,,Metastatic,pleural_effusion,Male,ATCC,,NCIH1650_LUNG,687800.0,,1548.0,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung
ACH-000036,PT-llPs5J,U343,U343,64.0,Academic lab,,CVCL_4773,GB,Adherent,,,central_nervous_system,Male,Linda Chin,,U343_CENTRAL_NERVOUS_SYSTEM,,,,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000037,PT-JfLphU,S-117,S117,47.0,Commercial,SIDM00035,CVCL_1674,SARCNOS,Unknown,,,soft_tissue,Female,DSMZ,,S117_THYROID,,,,SARCNOS,"Sarcoma, NOS","Sarcoma, NOS",Soft Tissue
ACH-000038,PT-LoXnDo,EHEB,EHEB,69.0,Commercial,SIDM01049,CVCL_1194,BLL,Unknown,,,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906854.0,,39.0,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000039,PT-wGDMGe,SK-N-MC,SKNMC,14.0,Commercial,SIDM00634,CVCL_0530,ES,Unknown,EWS_FLI,Metastatic,bone,Female,ATCC,,SKNMC_BONE,,,,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000040,PT-5XnRfQ,U-118 MG,U118MG,47.0,Commercial,SIDM01193,CVCL_0633,ASTR,Adherent,,Primary,central_nervous_system,Male,ATCC,,U118MG_CENTRAL_NERVOUS_SYSTEM,687588.0,SNP fingerprinting confirms that this line is an U-138 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,7.0,ASTR,Astrocytoma,Diffuse Glioma,CNS/Brain
ACH-000041,PT-3yDaRJ,RD-ES,RDES,19.0,Commercial,,CVCL_2169,ES,Unknown,EWS_FLI,Primary,bone,Male,ATCC,,RDES_BONE,,,,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000042,PT-QOpMVz,Panc 02.03,PANC0203,70.0,Commercial,SIDM01139,CVCL_1633,PAAD,Unknown,,Primary,pancreas,Female,ATCC,,PANC0203_PANCREAS,1298475.0,,1838.0,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000043,PT-rTUVZQ,Hs 895.T,HS895T,48.0,Commercial,,CVCL_0993,ZFIBSKI,Adherent,,Metastatic,fibroblast,Female,ATCC,,HS895T_FIBROBLAST,,,,,"Fibroblast, Skin",Non-Cancerous,Fibroblast
ACH-000044,PT-HMBfbj,MDA-MB-134-VI,MDAMB134VI,47.0,Commercial,SIDM00005,CVCL_0617,ILC,Unknown,luminal,Metastatic,pleural_effusion,Female,ATCC,,MDAMB134VI_BREAST,,,,ILC,Breast Invasive Lobular Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000045,PT-zb7Sx0,MV4;11,MV411,10.0,Commercial,SIDM00657,CVCL_0064,AML,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,ATCC,,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908156.0,,133.0,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000046,PT-zV8Sol,ACHN,ACHN,22.0,Commercial,SIDM00123,CVCL_1067,PRCC,Adherent,,Metastatic,pleural_effusion,Male,ATCC,,ACHN_KIDNEY,905950.0,,371.0,PRCC,Papillary Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000047,PT-UVwT4j,GCIY,GCIY,39.0,Commercial,SIDM00274,CVCL_1228,STAD,Adherent,,Metastatic,ascites,Female,RIKEN,,GCIY_STOMACH,906869.0,,1414.0,STAD,Stomach Adenocarcinoma,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000048,PT-EehOTC,TOV-112D,TOV112D,42.0,Commercial,SIDM01170,CVCL_3612,EOV,Adherent,,Primary,ovary,Female,ATCC,,TOV112D_OVARY,1299070.0,,5.0,EOV,Endometrioid Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000049,PT-qWYYgr,HEK TE,HEKTE,,Academic lab,,CVCL_WS59,ZIMMEKC,Adherent,,,kidney,Unknown,Jesse Boehm (Broad),,HEKTE_KIDNEY,,,,,Immortalized Embyonic Kidney Cells,Non-Cancerous,Kidney
ACH-000050,PT-HOg2sh,NCI-H929,NCIH929,62.0,Commercial,SIDM01148,CVCL_1600,PCM,Suspension,,Metastatic,pleural_effusion,Female,ATCC,,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,724825.0,SNP fingerprinting rules out K-562 contamination.,1230.0,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000051,PT-xfVhgW,TE 617.T,TE617T,1.0,Commercial,,CVCL_1755,RMS,Unknown,,Primary,soft_tissue,Female,ATCC,,TE617T_SOFT_TISSUE,,,,RMS,Rhabdomyosarcoma,Rhabdomyosarcoma,Soft Tissue
ACH-000052,PT-IAac7b,A-673,A673,15.0,Commercial,SIDM00848,CVCL_0080,ES,Adherent,EWS_FLI,Primary,soft_tissue,Female,ATCC,,A673_BONE,684052.0,,660.0,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000053,PT-nECHHn,KARPAS-299,KARPAS299,25.0,Academic lab,SIDM01010,CVCL_1324,ALCLALKP,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,Received from NIBRI,,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907273.0,,906.0,ALCLALKP,Anaplastic Large-Cell Lymphoma ALK Positive,Non-Hodgkin Lymphoma,Lymphoid
ACH-000054,PT-cVfhmE,HT-1080,HT1080,35.0,Commercial,SIDM00828,CVCL_0317,FIBS,Adherent,,Metastatic,soft_tissue,Male,ATCC,,HT1080_SOFT_TISSUE,907064.0,,1391.0,FIBS,Fibrosarcoma,Fibrosarcoma,Soft Tissue
ACH-000055,PT-xKYZGz,D283 Med,D283MED,6.0,Commercial,SIDM00888,CVCL_1155,MBL,Mixed,MYC_exp,Metastatic,abdomen,Male,ATCC,,D283MED_CENTRAL_NERVOUS_SYSTEM,906834.0,,1184.0,MBL,Medulloblastoma,Embryonal Tumor,CNS/Brain
ACH-000056,PT-QeK3sM,DOHH-2,DOHH2,60.0,Commercial,SIDM00981,CVCL_1179,DLBCLNOS,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906842.0,,1339.0,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid
ACH-000057,PT-codP7n,OPM-1,OPM1,56.0,Academic lab,SIDM00456,CVCL_5210,PCM,Suspension,,,haematopoietic_and_lymphoid_tissue,Female,,,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000058,PT-HRqr49,ML-1,ML1,50.0,Commercial,SIDM00442,CVCL_H525,THFO,Unknown,,,thyroid,Female,DSMZ,,ML1_THYROID,1240178.0,,1227.0,THFO,Follicular Thyroid Cancer,Well-Differentiated Thyroid Cancer,Thyroid
ACH-000059,PT-rikOUx,SUP-B15,SUPB15,9.0,Commercial,SIDM01176,CVCL_0103,BLLBCRABL1,Suspension,,Primary,bone_marrow,Male,ATCC,,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1247871.0,,786.0,BLLBCRABL1,B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000060,PT-9JMXWA,Panc 10.05,PANC1005,81.0,Commercial,SIDM01135,CVCL_1639,PAAD,Adherent,,Primary,pancreas,Male,ATCC,,PANC1005_PANCREAS,925348.0,,197.0,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000061,PT-hDGIfb,HH,HH,61.0,Commercial,SIDM00671,CVCL_1280,MTNN,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,ATCC,,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907056.0,,310.0,MTNN,Mature T and NK Neoplasms,Non-Hodgkin Lymphoma,Lymphoid
ACH-000062,PT-Rt0hf4,RERF-LC-MS,RERFLCMS,,Commercial,SIDM00355,CVCL_1655,LUAD,Adherent,,Primary,lung,Male,JCRB,,RERFLCMS_LUNG,910931.0,,2051.0,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000063,PT-kuvMUl,,HS616T,16.0,,,CVCL_0825,ZFIBLYM,Unknown,,,fibroblast,Male,,,HS616T_FIBROBLAST,,,,,"Fibroblast, Lymphocyte",Non-Cancerous,Fibroblast
ACH-000064,PT-Vm8sIp,SALE,SALE,,Academic lab,,CVCL_WS60,ZIMMLUNG,Unknown,,,lung,Male,Jesse Boehm (Broad),,SALE_LUNG,,,,,Immortalized Lung Cells,Non-Cancerous,Lung
ACH-000065,PT-EsXLcC,OCI-AML5,OCIAML5,77.0,Commercial,SIDM00461,CVCL_1620,AML,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330983.0,,2130.0,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000066,PT-QxlnnP,HCC4006,HCC4006,,Commercial,,CVCL_1269,LUAD,Adherent,,Metastatic,pleural_effusion,Male,ATCC,,HCC4006_LUNG,,,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000067,PT-25yL7C,Hs 683,HS683,76.0,Commercial,SIDM00666,CVCL_0844,ODG,Adherent,,Primary,central_nervous_system,Male,ATCC,,HS683_CENTRAL_NERVOUS_SYSTEM,1240150.0,,769.0,ODG,Oligodendroglioma,Diffuse Glioma,CNS/Brain
ACH-000068,PT-WEet0z,REC-1,REC1,61.0,Commercial,,CVCL_1884,MCL,Unknown,,,lymph_node,Male,DSMZ,,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,MCL,Mantle Cell Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000069,PT-RgXHAi,Hs 611.T,HS611T,48.0,Commercial,,CVCL_0823,HL,Unknown,,,haematopoietic_and_lymphoid_tissue,Female,ATCC,,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,HL,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid
ACH-000070,PT-0yrZJC,697,697,12.0,Commercial,SIDM01076,CVCL_0079,BLL,Suspension,,Primary,bone_marrow,Male,DSMZ,,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906800.0,,63.0,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000071,PT-HqO4KC,HS706T,HS706T,16.0,Commercial,,CVCL_0863,ZFIBBON,Unknown,,,fibroblast,Female,ATCC,,HS706T_BONE,,,,,"Fibroblast, Bone",Non-Cancerous,Fibroblast
