gene_symbol	hgnc_id	omim_disease_id	omim_title	omim_disease_description	omim_description_original	omim_all_criteria_include	omim_molecular_basis_known	omim_type_include	omim_id_include	omim_disease_description_somatic_response_include	gene_include
CYP17A1	HGNC:2593	202110	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 17-ALPHA-HYDROXYLASE DEFICIENCY	17,20-lyase deficiency, isolated	17,20-lyase deficiency, isolated, 202110 (3)	y	y	y	y	y	y
CYP17A1	HGNC:2593	202110	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 17-ALPHA-HYDROXYLASE DEFICIENCY	17-alpha-hydroxylase/17,20-lyase deficiency	17-alpha-hydroxylase/17,20-lyase deficiency, 202110 (3)	y	y	y	y	y	y
NADK2	HGNC:26404	616034	2,4-DIENOYL-CoA REDUCTASE DEFICIENCY	2,4-dienoyl-CoA reductase deficiency	2,4-dienoyl-CoA reductase deficiency, 616034 (3)	y	y	y	y	y	y
ACADSB	HGNC:91	610006	2-METHYLBUTYRYL-CoA DEHYDROGENASE DEFICIENCY	2-methylbutyrylglycinuria	2-methylbutyrylglycinuria, 610006 (3)	y	y	y	y	y	y
CUL7	HGNC:21024	273750	THREE M SYNDROME 1	3-M syndrome 1	3-M syndrome 1, 273750 (3)	y	y	y	y	y	y
OBSL1	HGNC:29092	612921	THREE M SYNDROME 2	3-M syndrome 2	3-M syndrome 2, 612921 (3)	y	y	y	y	y	y
CCDC8	HGNC:25367	614205	THREE M SYNDROME 3	3-M syndrome 3	3-M syndrome 3, 614205 (3)	y	y	y	y	y	y
MCCC1	HGNC:6936	210200	3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY	3-Methylcrotonyl-CoA carboxylase 1 deficiency	3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3)	y	y	y	y	y	y
MCCC2	HGNC:6937	210210	3-METHYLCROTONYL-CoA CARBOXYLASE 2 DEFICIENCY	3-Methylcrotonyl-CoA carboxylase 2 deficiency	3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 (3)	y	y	y	y	y	y
HADHSC	HGNC:4799	231530	3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY	3-hydroxyacyl-CoA dehydrogenase deficiency	3-hydroxyacyl-CoA dehydrogenase deficiency, 231530 (3)	y	y	y	y	y	y
HIBCH	HGNC:4908	250620	3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY	3-hydroxyisobutryl-CoA hydrolase deficiency	3-hydroxyisobutryl-CoA hydrolase deficiency, 250620 (3)	y	y	y	y	y	y
SERAC1	HGNC:21061	614739	3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome, 614739 (3)	y	y	y	y	y	y
AUH	HGNC:890	250950	3-METHYLGLUTACONIC ACIDURIA, TYPE I	3-methylglutaconic aciduria, type I	3-methylglutaconic aciduria, type I, 250950 (3)	y	y	y	y	y	y
OPA3	HGNC:8142	258501	3-METHYLGLUTACONIC ACIDURIA, TYPE III	3-methylglutaconic aciduria, type III	3-methylglutaconic aciduria, type III, 258501 (3)	y	y	y	y	y	y
TIMM50	HGNC:23656	617698	3-METHYLGLUTACONIC ACIDURIA, TYPE IX	3-methylglutaconic aciduria, type IX	3-methylglutaconic aciduria, type IX, 617698 (3)	y	y	y	y	y	y
DNAJC19	HGNC:30528	610198	3-METHYLGLUTACONIC ACIDURIA, TYPE V	3-methylglutaconic aciduria, type V	3-methylglutaconic aciduria, type V, 610198 (3)	y	y	y	y	y	y
CLPB	HGNC:30664	619835	3-METHYLGLUTACONIC ACIDURIA, TYPE VIIA	3-methylglutaconic aciduria, type VIIA, autosomal dominant	3-methylglutaconic aciduria, type VIIA, autosomal dominant, 619835 (3)	y	y	y	y	y	y
CLPB	HGNC:30664	616271	3-METHYLGLUTACONIC ACIDURIA, TYPE VIIB	3-methylglutaconic aciduria, type VIIB, autosomal recessive	3-methylglutaconic aciduria, type VIIB, autosomal recessive, 616271 (3)	y	y	y	y	y	y
HTRA2	HGNC:14348	617248	3-METHYLGLUTACONIC ACIDURIA, TYPE VIII	3-methylglutaconic aciduria, type VIII	3-methylglutaconic aciduria, type VIII, 617248 (3)	y	y	y	y	y	y
MASP1	HGNC:6901	257920	3MC SYNDROME 1	3MC syndrome 1	3MC syndrome 1, 257920 (3)	y	y	y	y	y	y
COLEC11	HGNC:17213	265050	3MC SYNDROME 2	3MC syndrome 2	3MC syndrome 2, 265050 (3)	y	y	y	y	y	y
COLEC10	HGNC:2220	248340	3MC SYNDROME 3	3MC syndrome 3	3MC syndrome 3, 248340 (3)	y	y	y	y	y	y
DEL3pterp25	-	-	NA	3p- syndrome (4)	3p- syndrome (4)	n	y	y	n	y	n
NR5A1	HGNC:7983	617480	46,XX SEX REVERSAL 4	46, XX sex reversal 4	46, XX sex reversal 4, 617480 (3)	y	y	y	y	y	y
DHX37	HGNC:17210	273250	46,XY SEX REVERSAL 11	46, XY sex reversal 11	46, XY sex reversal 11, 273250 (3)	y	y	y	y	y	y
NR2F2	HGNC:7976	618901	46,XX SEX REVERSAL 5	46,XX sex reversal 5	46,XX sex reversal 5, 618901 (3)	y	y	y	y	y	y
SRY	HGNC:11311	400045	46,XX SEX REVERSAL 1	46XX sex reversal 1	46XX sex reversal 1, 400045 (4)	n	n	y	y	y	y
SRXX2	-	-	NA	46XX sex reversal 2 (4)	46XX sex reversal 2 (4)	n	n	y	n	y	n
SRXX3	-	-	NA	46XX sex reversal 3 (4)	46XX sex reversal 3 (4)	n	y	y	n	y	n
DHH	HGNC:2865	607080	46,XY GONADAL DYSGENESIS WITH MINIFASCICULAR NEUROPATHY	46XY gonadal dysgenesis with minifascicular neuropathy	46XY gonadal dysgenesis with minifascicular neuropathy, 607080 (3)	y	y	y	y	y	y
SRY	HGNC:11311	400044	46,XY SEX REVERSAL 1	46XY sex reversal 1	46XY sex reversal 1, 400044 (3)	y	y	y	y	y	y
SRXY10	-	-	NA	46XY sex reversal 10 (4)	46XY sex reversal 10 (4)	n	n	y	n	y	n
NR0B1	HGNC:7960	300018	46,XY SEX REVERSAL 2	46XY sex reversal 2, dosage-sensitive	46XY sex reversal 2, dosage-sensitive, 300018 (3)	y	y	y	y	y	y
NR5A1	HGNC:7983	612965	46,XY SEX REVERSAL 3	46XY sex reversal 3	46XY sex reversal 3, 612965 (3)	y	y	y	y	y	y
DEL9p24.3	-	-	NA	46XY sex reversal 4 (4)	46XY sex reversal 4 (4)	n	n	y	n	y	n
MAP3K1	HGNC:6848	613762	46,XY SEX REVERSAL 6	46XY sex reversal 6	46XY sex reversal 6, 613762 (3)	y	y	y	y	y	y
DHH	HGNC:2865	233420	46,XY SEX REVERSAL 7	46XY sex reversal 7	46XY sex reversal 7, 233420 (3)	y	y	y	y	y	y
AKR1C2	-	614279	46,XY SEX REVERSAL 8	46XY sex reversal 8	46XY sex reversal 8, 614279 (3)	n	y	y	y	y	n
ZFPM2	HGNC:16700	616067	46,XY SEX REVERSAL 9	46XY sex reversal 9	46XY sex reversal 9, 616067 (3)	y	y	y	y	y	y
DPYD	HGNC:3012	274270	DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY	5-fluorouracil toxicity	5-fluorouracil toxicity, 274270 (3)	y	y	y	y	y	y
OPLAH	HGNC:8149	260005	5-OXOPROLINASE DEFICIENCY	5-oxoprolinase deficiency	5-oxoprolinase deficiency, 260005 (3)	y	y	y	y	y	y
CBX2	HGNC:1552	613080	46,XY SEX REVERSAL 5	?46XY sex reversal 5	?46XY sex reversal 5, 613080 (3)	n	y	n	y	y	y
EDNRB	HGNC:3180	600501	ABCD SYNDROME	?ABCD syndrome	?ABCD syndrome, 600501 (3)	n	y	n	y	y	y
ACAT2	HGNC:94	614055	NA	?ACAT2 deficiency	?ACAT2 deficiency, 614055 (1)	n	n	n	y	y	y
HEPHL1	HGNC:30477	261990	ABNORMAL HAIR, JOINT LAXITY, AND DEVELOPMENTAL DELAY	?Abnormal hair, joint laxity, and developmental delay	?Abnormal hair, joint laxity, and developmental delay, 261990 (3)	n	y	n	y	y	y
TBX22	HGNC:11600	302905	ABRUZZO-ERICKSON SYNDROME	?Abruzzo-Erickson syndrome	?Abruzzo-Erickson syndrome, 302905 (3)	n	y	n	y	y	y
PSEN1	HGNC:9508	613737	ACNE INVERSA, FAMILIAL, 3	?Acne inversa, familial, 3	?Acne inversa, familial, 3, 613737 (3)	n	y	n	y	y	y
GDF5	HGNC:4220	201250	ACROMESOMELIC DYSPLASIA 2C	?Acromesomelic dysplasia 2C, Hunter-Thompson type	?Acromesomelic dysplasia 2C, Hunter-Thompson type, 201250 (3)	n	y	n	y	y	y
TIMELESS	HGNC:11813	620015	ADVANCE SLEEP PHASE SYNDROME, FAMILIAL, 4	?Advance sleep phase syndrome, familial, 4	?Advance sleep phase syndrome, familial, 4, 620015 (3)	n	y	n	y	y	y
PER2	HGNC:8846	604348	ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 1	?Advanced sleep phase syndrome, familial, 1	?Advanced sleep phase syndrome, familial, 1, 604348 (3)	n	y	n	y	y	y
PER3	HGNC:8847	616882	ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 3	?Advanced sleep phase syndrome, familial, 3	?Advanced sleep phase syndrome, familial, 3, 616882 (3)	n	y	n	y	y	y
BLNK	HGNC:14211	613502	AGAMMAGLOBULINEMIA 4, AUTOSOMAL RECESSIVE	?Agammaglobulinemia 4	?Agammaglobulinemia 4, 613502 (3)	n	y	n	y	y	y
LRRC8A	HGNC:19027	613506	AGAMMAGLOBULINEMIA 5, AUTOSOMAL DOMINANT	?Agammaglobulinemia 5	?Agammaglobulinemia 5, 613506 (3)	n	y	n	y	y	y
PIK3R1	HGNC:8979	615214	AGAMMAGLOBULINEMIA 7, AUTOSOMAL RECESSIVE	?Agammaglobulinemia 7, autosomal recessive	?Agammaglobulinemia 7, autosomal recessive, 615214 (3)	n	y	n	y	y	y
LSM11	HGNC:30860	619486	AICARDI-GOUTIERES SYNDROME 8	?Aicardi-Goutieres syndrome 8	?Aicardi-Goutieres syndrome 8, 619486 (3)	n	y	n	y	y	y
KIF7	HGNC:30497	607131	AL-GAZALI-BAKALINOVA SYNDROME	?Al-Gazali-Bakalinova syndrome	?Al-Gazali-Bakalinova syndrome, 607131 (3)	n	y	n	y	y	y
RBM28	HGNC:21863	612079	ALOPECIA, NEUROLOGIC DEFECTS, AND ENDOCRINOPATHY SYNDROME	?Alopecia, neurologic defects, and endocrinopathy syndrome	?Alopecia, neurologic defects, and endocrinopathy syndrome, 612079 (3)	n	y	n	y	y	y
AHSG	HGNC:349	203650	ALOPECIA-INTELLECTUAL DISABILITY SYNDROME 1	?Alopecia-intellectual disability syndrome 1	?Alopecia-intellectual disability syndrome 1, 203650 (3)	n	y	n	y	y	y
AI1E2	-	-	NA	?Amelogenesis imperfecta, type IE, X-linked 2 (2)	?Amelogenesis imperfecta, type IE, X-linked 2 (2)	n	n	n	n	y	n
AMTN	HGNC:33188	617607	AMELOGENESIS IMPERFECTA, TYPE IIIB	?Amelogenesis imperfecta, type IIIB	?Amelogenesis imperfecta, type IIIB, 617607 (3)	n	y	n	y	y	y
B2M	HGNC:914	105200	AMYLOIDOSIS, FAMILIAL VISCERAL	?Amyloidosis, familial visceral	?Amyloidosis, familial visceral, 105200 (3)	n	y	n	y	y	y
IL31RA	HGNC:18969	613955	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 2	?Amyloidosis, primary localized cutaneous, 2	?Amyloidosis, primary localized cutaneous, 2, 613955 (3)	n	y	n	y	y	y
SIGMAR1	HGNC:8157	614373	AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE	?Amyotrophic lateral sclerosis 16, juvenile	?Amyotrophic lateral sclerosis 16, juvenile, 614373 (3)	n	y	n	y	y	y
ANC	-	-	NA	?Anal canal carcinoma (2)	?Anal canal carcinoma (2)	n	n	n	n	y	n
RCGAP1	-	619789	ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE IIIb, AUTOSOMAL RECESSIVE	?Anemia, congenital dyserythropoietic, type IIIb, autosomal recessive	?Anemia, congenital dyserythropoietic, type IIIb, autosomal recessive, 619789 (3)	n	y	n	y	y	n
STEAP3	HGNC:24592	615234	ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 2	?Anemia, hypochromic microcytic, with iron overload 2	?Anemia, hypochromic microcytic, with iron overload 2, 615234 (3)	n	y	n	y	y	y
HSC20	HGNC:28913	619523	ANEMIA, SIDEROBLASTIC, 5	?Anemia, sideroblastic, 5	?Anemia, sideroblastic, 5, 619523 (3)	n	y	n	y	y	y
TRIM36	HGNC:16280	206500	ANENCEPHALY 1	?Anencephaly 1	?Anencephaly 1, 206500 (3)	n	y	n	y	y	y
NUAK2	HGNC:29558	619452	ANENCEPHALY 2	?Anencephaly 2	?Anencephaly 2, 619452 (3)	n	y	n	y	y	y
THSD1	HGNC:17754	618734	ANEURYSM, INTRACRANIAL BERRY, 12	?Aneurysm, intracranial berry, 12	?Aneurysm, intracranial berry, 12, 618734 (3)	n	y	n	y	y	y
ANGPT1	HGNC:484	619361	ANGIOEDEMA, HEREDITARY, 5	?Angioedema, hereditary, 5	?Angioedema, hereditary, 5, 619361 (3)	n	y	n	y	y	y
MYOF	HGNC:3656	619366	ANGIOEDEMA, HEREDITARY, 7	?Angioedema, hereditary, 7	?Angioedema, hereditary, 7, 619366 (3)	n	y	n	y	y	y
HS3ST6	HGNC:14178	619367	ANGIOEDEMA, HEREDITARY, 8	?Angioedema, hereditary, 8	?Angioedema, hereditary, 8, 619367 (3)	n	y	n	y	y	y
ITPR2	HGNC:6181	106190	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS	?Anhidrosis, isolated, with normal sweat glands	?Anhidrosis, isolated, with normal sweat glands, 106190 (3)	n	y	n	y	y	y
ELP4	HGNC:1171	617141	ANIRIDIA 2	?Aniridia 2	?Aniridia 2, 617141 (3)	n	y	n	y	y	y
TRIM44	HGNC:19016	617142	ANIRIDIA 3	?Aniridia 3	?Aniridia 3, 617142 (3)	n	y	n	y	y	y
ATPLS	-	-	NA	?Antiphospholipid syndrome, familial (2)	?Antiphospholipid syndrome, familial (2)	n	n	n	n	y	n
BMS1	HGNC:23505	107600	APLASIA CUTIS CONGENITA, NONSYNDROMIC	?Aplasia cutis congenita, nonsyndromic	?Aplasia cutis congenita, nonsyndromic, 107600 (3)	n	y	n	y	y	y
JUP	HGNC:6207	611528	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 12	?Arrhythmogenic right ventricular dysplasia 12	?Arrhythmogenic right ventricular dysplasia 12, 611528 (3)	n	y	n	y	y	y
ERGIC1	HGNC:29205	208100	ARTHROGRYPOSIS MULTIPLEX CONGENITA 2, NEUROGENIC TYPE	?Arthrogryposis multiplex congenita 2, neurogenic type	?Arthrogryposis multiplex congenita 2, neurogenic type, 208100 (3)	n	y	n	y	y	y
NEK9	HGNC:18591	614262	ARTHROGRYPOSIS, PERTHES DISEASE, AND UPWARD GAZE PALSY	?Arthrogryposis, Perthes disease, and upward gaze palsy	?Arthrogryposis, Perthes disease, and upward gaze palsy, 614262 (3)	n	y	n	y	y	y
MET	HGNC:7029	620019	ARTHROGRYPOSIS, DISTAL, TYPE 11	?Arthrogryposis, distal, type 11	?Arthrogryposis, distal, type 11, 620019 (3)	n	y	n	y	y	y
PCNA	HGNC:8729	615919	ATAXIA-TELANGIECTASIA-LIKE DISORDER 2	?Ataxia-telangiectasia-like disorder 2	?Ataxia-telangiectasia-like disorder 2, 615919 (3)	n	y	n	y	y	y
NUP155	HGNC:8063	615770	ATRIAL FIBRILLATION, FAMILIAL, 15	?Atrial fibrillation 15	?Atrial fibrillation 15, 615770 (3)	n	y	n	y	y	y
ABCC9	HGNC:60	614050	ATRIAL FIBRILLATION, FAMILIAL, 12	?Atrial fibrillation, familial, 12	?Atrial fibrillation, familial, 12, 614050 (3)	n	y	n	y	y	y
MYL4	HGNC:7585	617280	ATRIAL FIBRILLATION, FAMILIAL, 18	?Atrial fibrillation, familial, 18	?Atrial fibrillation, familial, 18, 617280 (3)	n	y	n	y	y	y
CDH2	HGNC:1759	619957	ATTENTION DEFICIT-HYPERACTIVITY DISORDER 8	?Attention deficit-hyperactivity disorder 8	?Attention deficit-hyperactivity disorder 8, 619957 (3)	n	y	n	y	y	y
