hgnc_id	uniprot_id
HGNC:5	P04217
HGNC:24086	Q9NQ94
HGNC:7	P01023
HGNC:23336	A8K2U0
HGNC:30005	U3KPV4
HGNC:18149	Q9NPC4
HGNC:17968	Q9UNA3
HGNC:13666	Q9NRG9
HGNC:21298	Q86V21
HGNC:17	P22760
HGNC:24427	Q6P093
HGNC:32037	Q5VUY0
HGNC:32038	Q5VUY2
HGNC:17929	Q8N5Z0
HGNC:25662	Q6PD74
HGNC:19679	Q2M2I8
HGNC:30205	Q9H7C9
HGNC:18	Q13685
HGNC:19	Q16613
HGNC:15886	Q9Y312
HGNC:33842	Q4LEZ3
HGNC:20	P49588
HGNC:21022	Q5JTZ9
HGNC:28417	Q9BTE6
HGNC:23993	Q4L235
HGNC:14235	Q9NRN7
HGNC:17366	Q9UDR5
HGNC:19235	Q9NY61
HGNC:21	Q6ZMQ8
HGNC:23	P80404
HGNC:29	O95477
HGNC:32	Q9BZC7
HGNC:33	Q99758
HGNC:34	P78363
HGNC:35	Q8WWZ7
HGNC:36	Q8N139
HGNC:37	Q8IZY2
HGNC:38	O94911
HGNC:39	Q8IUA7
HGNC:30	Q8WWZ4
HGNC:14637	Q86UK0
HGNC:14638	Q86UQ4
HGNC:40	P08183
HGNC:45	P21439
HGNC:46	Q2M3G0
HGNC:47	Q9NP58
HGNC:48	O75027
HGNC:49	Q9NUT2
HGNC:50	Q9NP78
HGNC:41	Q9NRK6
HGNC:42	O95342
HGNC:51	P33527
HGNC:53	Q92887
HGNC:54	O15438
HGNC:55	O15439
HGNC:56	O15440
HGNC:57	O95255
HGNC:59	Q09428
HGNC:60	O60706
HGNC:52	Q5T3U5
HGNC:14639	Q96J66
HGNC:14640	Q96J65
HGNC:61	P33897
HGNC:66	Q9UBJ2
HGNC:67	P28288
HGNC:68	O14678
HGNC:69	P61221
HGNC:70	Q8NE71
HGNC:71	Q9UG63
HGNC:72	Q9NUQ8
HGNC:73	P45844
HGNC:74	Q9UNQ0
HGNC:13884	Q9H172
HGNC:13886	Q9H222
HGNC:13887	Q9H221
HGNC:17553	Q96SE0
HGNC:18717	P08910
HGNC:18718	Q8WU67
HGNC:20154	Q8TB40
HGNC:21396	Q8WTS1
HGNC:21398	Q9BV23
HGNC:23759	Q96I13
HGNC:25656	Q9NUJ1
HGNC:16407	Q8NFV4
HGNC:15868	Q8N2K0
HGNC:19837	Q7Z5M8
HGNC:20293	Q7L211
HGNC:24538	Q9BUJ0
HGNC:28235	Q96IU4
HGNC:26971	Q6UXT9
HGNC:13921	O95870
HGNC:16128	Q9H3Z7
HGNC:28756	Q96GS6
HGNC:24278	Q5VST6
HGNC:26925	Q6PCB6
