hgnc_id	uniprot_id	class_id	class_term
HGNC:18012	A0A024RBG1	PC00181	phosphatase
HGNC:18012	A0A024RBG1	PC00262	metabolite interconversion enzyme
HGNC:18012	A0A024RBG1	PC00121	hydrolase
HGNC:53895	A0A075B734	PC00227	transporter
HGNC:33997	A0A075B759	PC00072	chaperone
HGNC:53889	A0A075B767	PC00072	chaperone
HGNC:28944	A0A087WVF3	PC00257	GTPase-activating protein
HGNC:28944	A0A087WVF3	PC00022	G-protein modulator
HGNC:28944	A0A087WVF3	PC00095	protein-binding activity modulator
HGNC:53451	A0A087WWA1	PC00140	kinase modulator
HGNC:53451	A0A087WWA1	PC00095	protein-binding activity modulator
HGNC:32709	A0A087WXS9	PC00257	GTPase-activating protein
HGNC:32709	A0A087WXS9	PC00022	G-protein modulator
HGNC:32709	A0A087WXS9	PC00095	protein-binding activity modulator
HGNC:27071	A0A087X179	PC00257	GTPase-activating protein
HGNC:27071	A0A087X179	PC00022	G-protein modulator
HGNC:27071	A0A087X179	PC00095	protein-binding activity modulator
HGNC:2624	A0A087X1C5	PC00177	oxygenase
HGNC:2624	A0A087X1C5	PC00262	metabolite interconversion enzyme
HGNC:2624	A0A087X1C5	PC00176	oxidoreductase
HGNC:51245	A0A087X1G2	PC00257	GTPase-activating protein
HGNC:51245	A0A087X1G2	PC00022	G-protein modulator
HGNC:51245	A0A087X1G2	PC00095	protein-binding activity modulator
HGNC:38058	A0A096LNP1	PC00051	antimicrobial response protein
HGNC:38058	A0A096LNP1	PC00090	defense/immunity protein
HGNC:30942	A0A096LP49	PC00166	non-motor microtubule binding protein
HGNC:30942	A0A096LP49	PC00085	cytoskeletal protein
HGNC:30942	A0A096LP49	PC00157	microtubule or microtubule-binding cytoskeletal protein
HGNC:51714	A0A096LP55	PC00198	reductase
HGNC:51714	A0A096LP55	PC00262	metabolite interconversion enzyme
HGNC:51714	A0A096LP55	PC00176	oxidoreductase
HGNC:33734	A0A0A6YYL3	PC00150	membrane traffic protein
HGNC:33995	A0A0B4J2A2	PC00072	chaperone
HGNC:52292	A0A0K2S4Q6	PC00124	immunoglobulin receptor superfamily
HGNC:52292	A0A0K2S4Q6	PC00090	defense/immunity protein
HGNC:37865	A0A0U1RQE8	PC00042	acyltransferase
HGNC:37865	A0A0U1RQE8	PC00220	transferase
HGNC:37865	A0A0U1RQE8	PC00262	metabolite interconversion enzyme
HGNC:51793	A0A0U1RQI7	PC00248	C2H2 zinc finger transcription factor
HGNC:51793	A0A0U1RQI7	PC00218	DNA-binding transcription factor
HGNC:51793	A0A0U1RQI7	PC00264	gene-specific transcriptional regulator
HGNC:51793	A0A0U1RQI7	PC00244	zinc finger transcription factor
HGNC:55109	A0A0X1KG70	PC00197	transmembrane signal receptor
HGNC:52398	A0A1B0GTS1	PC00246	winged helix/forkhead transcription factor
HGNC:52398	A0A1B0GTS1	PC00218	DNA-binding transcription factor
HGNC:52398	A0A1B0GTS1	PC00264	gene-specific transcriptional regulator
HGNC:52398	A0A1B0GTS1	PC00116	helix-turn-helix transcription factor
HGNC:25659	A0A1B0GTU1	PC00147	RNA processing factor
HGNC:25659	A0A1B0GTU1	PC00171	nucleic acid metabolism protein
HGNC:25659	A0A1B0GTU1	PC00031	RNA metabolism protein
HGNC:53647	A0A1B0GTW7	PC00153	metalloprotease
HGNC:53647	A0A1B0GTW7	PC00190	protease
HGNC:53647	A0A1B0GTW7	PC00260	protein modifying enzyme
HGNC:13477	A0A1B0GUS4	PC00234	ubiquitin-protein ligase
HGNC:13477	A0A1B0GUS4	PC00260	protein modifying enzyme
HGNC:53644	A0A1B0GUY1	PC00103	extracellular matrix structural protein
HGNC:53644	A0A1B0GUY1	PC00102	extracellular matrix protein
HGNC:37442	A0A1B0GV03	PC00041	actin or actin-binding cytoskeletal protein
HGNC:37442	A0A1B0GV03	PC00085	cytoskeletal protein
HGNC:53638	A0A1B0GV85	PC00198	reductase
HGNC:53638	A0A1B0GV85	PC00262	metabolite interconversion enzyme
HGNC:53638	A0A1B0GV85	PC00176	oxidoreductase
HGNC:37321	A0A1B0GVH4	PC00203	serine protease
HGNC:37321	A0A1B0GVH4	PC00190	protease
HGNC:37321	A0A1B0GVH4	PC00260	protein modifying enzyme
HGNC:53927	A0A1B0GVX0	PC00226	scaffold/adaptor protein
HGNC:53433	A0A1B0GW35	PC00034	SNARE protein
HGNC:53433	A0A1B0GW35	PC00150	membrane traffic protein
HGNC:52395	A0A1B0GWH4	PC00246	winged helix/forkhead transcription factor
HGNC:52395	A0A1B0GWH4	PC00218	DNA-binding transcription factor
HGNC:52395	A0A1B0GWH4	PC00264	gene-specific transcriptional regulator
HGNC:52395	A0A1B0GWH4	PC00116	helix-turn-helix transcription factor
HGNC:40053	A0A1B0GWK0	PC00041	actin or actin-binding cytoskeletal protein
HGNC:40053	A0A1B0GWK0	PC00085	cytoskeletal protein
HGNC:53848	A0A1W2PP81	PC00259	general transcription factor
HGNC:53848	A0A1W2PP81	PC00171	nucleic acid metabolism protein
HGNC:53848	A0A1W2PP81	PC00031	RNA metabolism protein
HGNC:53847	A0A1W2PPE2	PC00259	general transcription factor
HGNC:53847	A0A1W2PPE2	PC00171	nucleic acid metabolism protein
HGNC:53847	A0A1W2PPE2	PC00031	RNA metabolism protein
HGNC:33345	A0A1W2PPF3	PC00119	homeodomain transcription factor
HGNC:33345	A0A1W2PPF3	PC00218	DNA-binding transcription factor
HGNC:33345	A0A1W2PPF3	PC00264	gene-specific transcriptional regulator
HGNC:33345	A0A1W2PPF3	PC00116	helix-turn-helix transcription factor
HGNC:53439	A0A1W2PPG7	PC00117	heterotrimeric G-protein
HGNC:53439	A0A1W2PPG7	PC00020	G-protein
HGNC:53439	A0A1W2PPG7	PC00095	protein-binding activity modulator
HGNC:53856	A0A1W2PPH5	PC00259	general transcription factor
HGNC:53856	A0A1W2PPH5	PC00171	nucleic acid metabolism protein
HGNC:53856	A0A1W2PPH5	PC00031	RNA metabolism protein
HGNC:55919	A0A1W2PPK0	PC00119	homeodomain transcription factor
HGNC:55919	A0A1W2PPK0	PC00218	DNA-binding transcription factor
